"","DRIVE","CAPTURE_METHOD","DATE","AHY_M","AHY_F","L_M","L_F"
"1","BABTUK","GROUND",2024-07-27,7,4,15,9
"2","BEND COLONY","GROUND",2024-07-19,5,5,22,9
"3","HOCK SLOUGH","GROUND",2024-07-24,12,11,19,31
"4","KASH TUT","GROUND",2024-07-20,27,19,0,0
"5","NORTH CAMP","GROUND",2024-07-25,17,15,42,37
"6","NORTH KOOTUK","GROUND",2024-07-27,2,0,6,4
"7","OLD VILLAGE","GROUND",2024-07-23,4,8,12,21
"8","SOUTH SLOUGH RUN 1","GROUND",2024-07-21,0,1,1,2
"9","TUT 2","GROUND",2024-07-19,5,10,3,4
"10","TUT 2","GROUND",2024-07-23,1,4,4,6
"11","TUT 3","GROUND",2024-07-22,1,1,2,1
"12","TUT CAMP","GROUND",2024-07-21,6,8,21,19
"13","TUT RUN 1","GROUND",2024-07-20,0,0,4,1
"14","TUT RUN 2","GROUND",2024-07-20,2,3,3,3
"15","TUT RUN 3","GROUND",2024-07-20,0,1,6,4
