"","DATE","RECAP","BAND_NUMBER","AGE","SEX","DRIVE"
"1",2024-07-20,"Y","2047-27616","AHY","F","KASH TUT"
"2",2024-07-20,"Y","2287-13650","AHY","F","KASH TUT"
"3",2024-07-21,"Y","2047-29281","AHY","M","TUT CAMP"
"4",2024-07-21,"Y","2047-29268","AHY","F","TUT CAMP"
"5",2024-07-21,"Y","2227-21370","AHY","F","TUT CAMP"
"6",2024-07-23,"Y","2047-29307","AHY","F","OLD VILLAGE"
"7",2024-07-23,"Y","2047-27475","AHY","M","OLD VILLAGE"
"8",2024-07-23,"Y","2287-13875","AHY","M","OLD VILLAGE"
"9",2024-07-23,"Y","2287-13884","AHY","F","OLD VILLAGE"
"10",2024-07-23,"Y","2287-13871","AHY","M","OLD VILLAGE"
"11",2024-07-23,"Y","2287-27414","AHY","M","OLD VILLAGE"
"12",2024-07-24,"Y","2047-29396","AHY","F","HOCK SLOUGH"
"13",2024-07-24,"Y","2047-27311","AHY","F","HOCK SLOUGH"
"14",2024-07-25,"Y","2047-27041","AHY","F","NORTH CAMP"
"15",2024-07-25,"Y","2287-13559","AHY","F","NORTH CAMP"
"16",2024-07-25,"Y","2047-27045","AHY","F","NORTH CAMP"
"17",2024-07-26,"Y","2047-29300","AHY","F","PUNORAT2"
"18",2024-07-27,"Y","2287-13965","AHY","M","BABTUK"
"19",2024-07-28,"Y","2287-14246","AHY","F","MANOKINAK03 2024"
