"","DRIVE","DATE","AHY_M","AHY_F","L_M","L_F"
"1","25HELO01",2025-07-24,5,4,9,13
"2","25HELO02",2025-07-24,1,2,2,5
"3","25HELO03",2025-07-24,5,7,8,11
"4","25HELO04",2025-07-25,2,2,4,5
"5","25HELO05",2025-07-25,6,4,10,11
"6","25HELO06",2025-07-25,6,6,9,10
"7","25HELO07",2025-07-25,11,7,14,7
"8","25HELO08",2025-07-25,8,6,10,9
"9","25HELO09",2025-07-25,4,3,13,6
"10","25HELO10",2025-07-25,6,7,1,9
"11","25HELO11",2025-07-26,0,1,7,6
"12","25HELO12",2025-07-26,8,5,12,8
"13","25HELO13",2025-07-26,2,1,1,2
"14","25HELO14",2025-07-26,6,4,11,9
"15","25HELO15",2025-07-26,2,2,5,7
"16","25HELO16",2025-07-26,1,2,5,3
"17","25HELO17",2025-07-26,2,1,7,1
"18","25HELO18",2025-07-27,1,3,7,4
"19","25HELO19",2025-07-27,5,4,11,13
"20","25HELO20",2025-07-27,1,0,4,0
"21","25HELO21",2025-07-27,4,4,10,6
"22","25HELO22",2025-07-27,4,4,8,12
"23","25HELO23",2025-07-27,2,2,7,12
"24","25HELO24",2025-07-27,4,6,7,5
