,DATE,RECAP,PREFIX,SUFFIX,SPECIES,AGE,SEX,HOW_SEX,DRIVE,BLOOD,COMMENTS,CAPTURE_METHOD,LAT,LONG,BAND_NUMBER,year_banded
5,7/16/2025,Y,2287,88108,MCGO,AHY,F,PL,TUT 2,N,NA,GROUND,61.247658,165.571319,2287-88108,2024
9,7/17/2025,Y,2287,88092,MCGO,AHY,M,CL,NORTH CAMP,N,NA,GROUND,61.24437,165.633586,2287-88092,2024
17,7/18/2025,Y,2287,87934,MCGO,AHY,M,CL,OLD VILLAGE,N,NA,GROUND,61.321624,165.66367,2287-87934,2024
39,7/27/2025,Y,2287,87726,MCGO,AHY,F,PL,25HELO21,N,NA,HELICOPTER,61.19553,-165.09033,2287-87726,2024
22,7/19/2025,Y,2287,87565,MCGO,AHY,F,PL,KASH-TUT,N,NA,GROUND,61.252362,165.612231,2287-87565,2024
24,7/19/2025,Y,2287,87555,MCGO,AHY,M,CL,KASH-TUT,N,NA,GROUND,61.252362,165.612231,2287-87555,2024
26,7/19/2025,Y,2287,87540,MCGO,AHY,F,PL,KASH-TUT,N,NA,GROUND,61.252362,165.612231,2287-87540,2024
31,7/19/2025,Y,2287,87531,MCGO,AHY,F,PL,KASH-TUT,N,NA,GROUND,61.252362,165.612231,2287-87531,2024
38,7/25/2025,Y,2287,87520,MCGO,AHY,M,CL,25HELO04,N,NA,HELICOPTER,60.86144,-164.95076,2287-87520,2024
16,7/18/2025,Y,2287,87514,MCGO,AHY,M,CL,OLD VILLAGE,N,NA,GROUND,61.321624,165.66367,2287-87514,2024
27,7/19/2025,Y,2287,14463,MCGO,AHY,F,PL,KASH-TUT,N,NA,GROUND,61.252362,165.612231,2287-14463,2024
1,7/16/2025,Y,2287,14461,MCGO,AHY,F,PL,CAMP DRIVE,N,NA,GROUND,61.248426,165.61654,2287-14461,2024
23,7/19/2025,Y,2287,14461,MCGO,AHY,F,PL,KASH-TUT,N,NA,GROUND,61.252362,165.612231,2287-14461,2024
2,7/16/2025,Y,2287,14444,MCGO,AHY,M,CL,CAMP DRIVE,N,NA,GROUND,61.248426,165.61654,2287-14444,2024
29,7/19/2025,Y,2287,14426,MCGO,AHY,M,CL,KASH-TUT,N,NA,GROUND,61.252362,165.612231,2287-14426,2024
33,7/19/2025,Y,2287,13785,MCGO,AHY,F,PL,KASH-TUT,N,NA,GROUND,61.251998,165.565846,2287-13785,2023
32,7/19/2025,Y,2287,13758,MCGO,AHY,F,PL,KASH-TUT,N,NA,GROUND,61.251998,165.565846,2287-13758,2023
18,7/18/2025,Y,2287,13609,MCGO,AHY,F,CL,HOCK SLOUGH,N,NA,GROUND,61.312127,165.642123,2287-13609,2023
15,7/17/2025,Y,2287,13594,MCGO,AHY,F,PL,NORTH CAMP,N,NA,GROUND,61.24437,165.633586,2287-13594,2023
8,7/17/2025,Y,2287,13550,MCGO,AHY,M,CL,NORTH CAMP,N,NA,GROUND,61.24437,165.633586,2287-13550,2023
12,7/17/2025,Y,2287,13539,MCGO,AHY,F,PL,NORTH CAMP,N,NA,GROUND,61.24437,165.633586,2287-13539,2023
6,7/16/2025,Y,2287,13512,MCGO,AHY,M,CL,TUT 2,N,NA,GROUND,61.247658,165.571319,2287-13512,2023
4,7/16/2025,Y,2287,13505,MCGO,AHY,F,PL,TUT 2,N,NA,GROUND,61.247658,165.571319,2287-13505,2023
19,7/18/2025,Y,2227,21770,MCGO,AHY,M,CL,HOCK SLOUGH,N,NA,GROUND,61.312127,165.642123,2227-21770,2022
28,7/19/2025,Y,2227,21371,MCGO,AHY,M,CL,KASH-TUT,N,NA,GROUND,61.252362,165.612231,2227-21371,2022
10,7/17/2025,Y,2227,21330,MCGO,AHY,F,PL,NORTH CAMP,N,NA,GROUND,61.24437,165.633586,2227-21330,2022
37,7/20/2025,Y,2227,21267,MCGO,AHY,F,CL,SOUTH CAMP,N,NA,GROUND,61.233746,165.639207,2227-21267,2022
21,7/19/2025,Y,2047,29270,MCGO,AHY,F,PL,KASH-TUT,N,NA,GROUND,61.252362,165.612231,2047-29270,2017
34,7/20/2025,Y,2047,29757,MCGO,AHY,F,CL,SOUTH CAMP,N,NA,GROUND,61.233746,165.639207,2047-29757,2018
35,7/20/2025,Y,2047,29742,MCGO,AHY,M,CL,SOUTH CAMP,N,NA,GROUND,61.233746,165.639207,2047-29742,2018
20,7/18/2025,Y,2047,29390,MCGO,AHY,F,CL,HOCK SLOUGH,N,NA,GROUND,61.312127,165.642123,2047-29390,2017
25,7/19/2025,Y,2047,29281,MCGO,AHY,M,CL,KASH-TUT,N,NA,GROUND,61.252362,165.612231,2047-29281,2017
7,7/17/2025,Y,2047,27988,MCGO,AHY,F,PL,NORTH CAMP,N,NA,GROUND,61.24437,165.633586,2047-27988,2021
13,7/17/2025,Y,2047,27959,MCGO,AHY,F,PL,NORTH CAMP,N,NA,GROUND,61.24437,165.633586,2047-27959,2021
3,7/16/2025,Y,2047,27940,MCGO,AHY,F,CL,CAMP DRIVE,N,NA,GROUND,61.248426,165.61654,2047-27940,2021
11,7/17/2025,Y,2047,27605,MCGO,AHY,F,PL,NORTH CAMP,N,NA,GROUND,61.24437,165.633586,2047-27605,2019
36,7/20/2025,Y,2047,27124,MCGO,AHY,F,PL,SOUTH CAMP,N,NA,GROUND,61.233746,165.639207,2047-27124,2021
14,7/17/2025,Y,2047,27010,MCGO,AHY,F,PL,NORTH CAMP,N,NA,GROUND,61.24437,165.633586,2047-27010,2021
